target,location,origin_date,target_end_date,output_type_id,horizon,output_type,value
ILI incidence,AT,2026-02-25,2026-03-08,0.95,3,quantile,2731.55210713396
ILI incidence,AT,2026-02-25,2026-03-08,0.975,3,quantile,2931.31138708288
ILI incidence,AT,2026-02-25,2026-03-08,0.99,3,quantile,3236.28589535242
ILI incidence,AT,2026-02-25,2026-03-15,0.01,4,quantile,537.23035483706
ILI incidence,AT,2026-02-25,2026-03-15,0.025,4,quantile,601.742306837076
ILI incidence,AT,2026-02-25,2026-03-15,0.05,4,quantile,666.718106083597
ILI incidence,AT,2026-02-25,2026-03-15,0.1,4,quantile,807.027288084866
ILI incidence,AT,2026-02-25,2026-03-15,0.15,4,quantile,902.297593809047
ILI incidence,AT,2026-02-25,2026-03-15,0.2,4,quantile,984.523425418984
ILI incidence,AT,2026-02-25,2026-03-15,0.25,4,quantile,1060.86366674348
ILI incidence,AT,2026-02-25,2026-03-15,0.3,4,quantile,1121.05327159805
ILI incidence,AT,2026-02-25,2026-03-15,0.35,4,quantile,1184.94030021359
ILI incidence,AT,2026-02-25,2026-03-15,0.4,4,quantile,1251.79061528933
ILI incidence,AT,2026-02-25,2026-03-15,0.45,4,quantile,1324.64908319164
ILI incidence,AT,2026-02-25,2026-03-15,0.5,4,quantile,1386.68548493599
ILI incidence,AT,2026-02-25,2026-03-15,0.55,4,quantile,1458.51891843678
ILI incidence,AT,2026-02-25,2026-03-15,0.6,4,quantile,1522.39585300357
ILI incidence,AT,2026-02-25,2026-03-15,0.65,4,quantile,1593.74176974148
ILI incidence,AT,2026-02-25,2026-03-15,0.7,4,quantile,1683.92224739917
ILI incidence,AT,2026-02-25,2026-03-15,0.75,4,quantile,1793.65607982334
ILI incidence,AT,2026-02-25,2026-03-15,0.8,4,quantile,1922.73843830746
ILI incidence,AT,2026-02-25,2026-03-15,0.85,4,quantile,2089.51410785058
ILI incidence,AT,2026-02-25,2026-03-15,0.9,4,quantile,2290.10048680378
ILI incidence,AT,2026-02-25,2026-03-15,0.95,4,quantile,2534.78293042339
ILI incidence,AT,2026-02-25,2026-03-15,0.975,4,quantile,2819.39147514189
ILI incidence,AT,2026-02-25,2026-03-15,0.99,4,quantile,3248.43055828278
ILI incidence,AT,2026-02-25,2026-02-22,,1,median,2170.25863015594
ILI incidence,AT,2026-02-25,2026-03-01,,2,median,1855.96363008854
ILI incidence,AT,2026-02-25,2026-03-08,,3,median,1596.4143784866
ILI incidence,AT,2026-02-25,2026-03-15,,4,median,1386.68548493599
ILI incidence,BE,2026-02-25,2026-02-22,0.01,1,quantile,262.563454853093
ILI incidence,BE,2026-02-25,2026-02-22,0.025,1,quantile,277.301577573605
ILI incidence,BE,2026-02-25,2026-02-22,0.05,1,quantile,293.676641461555
ILI incidence,BE,2026-02-25,2026-02-22,0.1,1,quantile,313.406325696357
ILI incidence,BE,2026-02-25,2026-02-22,0.15,1,quantile,324.563638966229
ILI incidence,BE,2026-02-25,2026-02-22,0.2,1,quantile,336.182970054271
ILI incidence,BE,2026-02-25,2026-02-22,0.25,1,quantile,349.985116766406
ILI incidence,BE,2026-02-25,2026-02-22,0.3,1,quantile,358.846452323927
ILI incidence,BE,2026-02-25,2026-02-22,0.35,1,quantile,367.071484549661
ILI incidence,BE,2026-02-25,2026-02-22,0.4,1,quantile,376.172440959997
ILI incidence,BE,2026-02-25,2026-02-22,0.45,1,quantile,383.287126270699
ILI incidence,BE,2026-02-25,2026-02-22,0.5,1,quantile,393.021287869582
ILI incidence,BE,2026-02-25,2026-02-22,0.55,1,quantile,401.869729865874
ILI incidence,BE,2026-02-25,2026-02-22,0.6,1,quantile,410.328002689596
ILI incidence,BE,2026-02-25,2026-02-22,0.65,1,quantile,420.501433555677
ILI incidence,BE,2026-02-25,2026-02-22,0.7,1,quantile,430.466913252027
ILI incidence,BE,2026-02-25,2026-02-22,0.75,1,quantile,444.827150048311
ILI incidence,BE,2026-02-25,2026-02-22,0.8,1,quantile,459.092028683596
ILI incidence,BE,2026-02-25,2026-02-22,0.85,1,quantile,473.354134678066
ILI incidence,BE,2026-02-25,2026-02-22,0.9,1,quantile,495.158738872433
ILI incidence,BE,2026-02-25,2026-02-22,0.95,1,quantile,529.045860769943
ILI incidence,BE,2026-02-25,2026-02-22,0.975,1,quantile,556.392768894189
ILI incidence,BE,2026-02-25,2026-02-22,0.99,1,quantile,610.57025083374
ILI incidence,BE,2026-02-25,2026-03-01,0.01,2,quantile,179.80637154534
ILI incidence,BE,2026-02-25,2026-03-01,0.025,2,quantile,202.142303032155
ILI incidence,BE,2026-02-25,2026-03-01,0.05,2,quantile,226.541279628399
ILI incidence,BE,2026-02-25,2026-03-01,0.1,2,quantile,247.179689524659
ILI incidence,BE,2026-02-25,2026-03-01,0.15,2,quantile,266.154039472357
ILI incidence,BE,2026-02-25,2026-03-01,0.2,2,quantile,281.063709313389
ILI incidence,BE,2026-02-25,2026-03-01,0.25,2,quantile,296.39537131856
ILI incidence,BE,2026-02-25,2026-03-01,0.3,2,quantile,311.645737844899
ILI incidence,BE,2026-02-25,2026-03-01,0.35,2,quantile,324.737849399098
ILI incidence,BE,2026-02-25,2026-03-01,0.4,2,quantile,336.562243606715
ILI incidence,BE,2026-02-25,2026-03-01,0.45,2,quantile,347.631158779665
ILI incidence,BE,2026-02-25,2026-03-01,0.5,2,quantile,359.581202710746
ILI incidence,BE,2026-02-25,2026-03-01,0.55,2,quantile,371.554422088756
ILI incidence,BE,2026-02-25,2026-03-01,0.6,2,quantile,383.462521094617
ILI incidence,BE,2026-02-25,2026-03-01,0.65,2,quantile,395.955743083282
ILI incidence,BE,2026-02-25,2026-03-01,0.7,2,quantile,412.728180905517
ILI incidence,BE,2026-02-25,2026-03-01,0.75,2,quantile,431.566213819634
ILI incidence,BE,2026-02-25,2026-03-01,0.8,2,quantile,451.317084280221
ILI incidence,BE,2026-02-25,2026-03-01,0.85,2,quantile,472.493678749121
ILI incidence,BE,2026-02-25,2026-03-01,0.9,2,quantile,514.55507517994
ILI incidence,BE,2026-02-25,2026-03-01,0.95,2,quantile,574.103565494729
ILI incidence,BE,2026-02-25,2026-03-01,0.975,2,quantile,618.911555373296
ILI incidence,BE,2026-02-25,2026-03-01,0.99,2,quantile,660.021149474966
ILI incidence,BE,2026-02-25,2026-03-08,0.01,3,quantile,137.870029485717
ILI incidence,BE,2026-02-25,2026-03-08,0.025,3,quantile,155.872131884816
ILI incidence,BE,2026-02-25,2026-03-08,0.05,3,quantile,178.151600755732
ILI incidence,BE,2026-02-25,2026-03-08,0.1,3,quantile,202.377541255097
ILI incidence,BE,2026-02-25,2026-03-08,0.15,3,quantile,220.896994939619
ILI incidence,BE,2026-02-25,2026-03-08,0.2,3,quantile,238.800246747283
ILI incidence,BE,2026-02-25,2026-03-08,0.25,3,quantile,254.566044572296
ILI incidence,BE,2026-02-25,2026-03-08,0.3,3,quantile,269.962452559225
ILI incidence,BE,2026-02-25,2026-03-08,0.35,3,quantile,286.154988363196
ILI incidence,BE,2026-02-25,2026-03-08,0.4,3,quantile,304.770629767964
ILI incidence,BE,2026-02-25,2026-03-08,0.45,3,quantile,321.115850678889
ILI incidence,BE,2026-02-25,2026-03-08,0.5,3,quantile,331.40734910929
ILI incidence,BE,2026-02-25,2026-03-08,0.55,3,quantile,345.232634523367
ILI incidence,BE,2026-02-25,2026-03-08,0.6,3,quantile,362.403135500703
ILI incidence,BE,2026-02-25,2026-03-08,0.65,3,quantile,383.171338767053
ILI incidence,BE,2026-02-25,2026-03-08,0.7,3,quantile,403.267981635048
ILI incidence,BE,2026-02-25,2026-03-08,0.75,3,quantile,426.196931734744
ILI incidence,BE,2026-02-25,2026-03-08,0.8,3,quantile,451.183112745627
ILI incidence,BE,2026-02-25,2026-03-08,0.85,3,quantile,485.090740404509
ILI incidence,BE,2026-02-25,2026-03-08,0.9,3,quantile,522.238427317153
ILI incidence,BE,2026-02-25,2026-03-08,0.95,3,quantile,606.997699351647
ILI incidence,BE,2026-02-25,2026-03-08,0.975,3,quantile,689.127917718407
ILI incidence,BE,2026-02-25,2026-03-08,0.99,3,quantile,804.220652358492
ILI incidence,BE,2026-02-25,2026-03-15,0.01,4,quantile,107.701116790863
